Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
8.8.8.8-10.140.79.163-853-36068-6,10.140.79.163,36068,8.8.8.8,853,6,06/05/2023 07:05,727581,15,1,981,0,293,0,65.4,104.6339197,0,0,0,0,1348.303488,21.9906787,48505.4,89647.42403,324604,4,700562,50040.14286,92826.80623,324604,4,0,0,0,0,0,0,0,0,0,480,40,20.61626128,1.374417419,0,293,57.70588235,100.2570226,10051.47059,0,1,0,0,0,0,0,0,0,61.3125,65.4,0,0,0,0,0,0,0,15,981,1,0,-1,65228,6,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-2975-6,10.140.79.163,2975,8.8.8.8,853,6,06/05/2023 07:05,2533537,71,1,8237,0,408,0,116.0140845,146.2022565,0,0,0,0,3251.18599,28.41876791,35683.61972,78826.06819,650997,3,2486751,35525.01429,79383.80517,650997,3,0,0,0,0,0,0,0,0,0,2272,40,28.0240628,0.39470511,0,408,112.8356164,145.4131101,21144.9726,0,1,0,0,0,0,0,0,0,114.4027778,116.0140845,0,0,0,0,0,0,0,71,8237,1,0,-1,65228,31,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-54661-6,10.140.79.163,54661,8.8.8.8,853,6,06/05/2023 07:05,16240587,102,1,12893,0,408,0,126.4019608,148.6345948,0,0,0,0,793.875246,6.342135294,159221.4412,429176.21,3150905,3,1.62E+07,160464.3663,431132.2183,3150905,3,0,0,0,0,0,0,0,0,0,3264,40,6.280561164,0.061574129,0,408,123.9711538,148.2145163,21967.54285,0,1,0,0,0,0,0,0,0,125.1747573,126.4019608,0,0,0,0,0,0,0,102,12893,1,0,-1,65228,49,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-32052-6,10.140.79.163,32052,8.8.8.8,853,6,06/05/2023 07:05,2084621,22,1,1973,0,293,0,89.68181818,119.2825323,0,0,0,0,946.4550151,11.03318061,94755.5,165605.9687,762926,3,2055094,97861.61905,169037.6747,762926,3,0,0,0,0,0,0,0,0,0,704,40,10.55347711,0.479703505,0,293,82.20833333,116.7568932,13632.1721,0,1,0,0,0,0,0,0,0,85.7826087,89.68181818,0,0,0,0,0,0,0,22,1973,1,0,-1,65228,10,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-19603-6,10.140.79.163,19603,8.8.8.8,853,6,06/05/2023 07:05,202527,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,2710.749678,54.31374582,20252.7,32976.31234,102716,5,173625,19291.66667,34827.81203,102716,5,0,0,0,0,0,0,0,0,0,320,40,49.37613257,4.937613257,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,1
8.8.4.4-10.140.79.163-853-31585-6,10.140.79.163,31585,8.8.4.4,853,6,06/05/2023 07:05,22087212,43,1,5437,0,408,0,126.4418605,155.316007,0,0,0,0,246.1605385,1.992102942,513656.093,2734869.069,1.80E+07,5,2.21E+07,525269.3095,2766946.901,1.80E+07,5,0,0,0,0,0,0,0,0,0,1376,40,1.946827875,0.045275067,0,408,120.8222222,154.016128,23720.96768,0,1,0,0,0,0,0,0,0,123.5681818,126.4418605,0,0,0,0,0,0,0,43,5437,1,0,-1,65228,21,0,797176,0,797176,797176,1.80E+07,0,1.80E+07,1.80E+07,1
8.8.8.8-10.140.79.163-853-42659-6,10.140.79.163,42659,8.8.8.8,853,6,06/05/2023 07:05,9388557,160,1,18485,0,408,0,115.53125,137.6265534,0,0,0,0,1968.886166,17.14853518,58678.48125,142992.3204,1680958,3,9356707,58847.21384,143428.1343,1680958,3,0,0,0,0,0,0,0,0,0,5120,40,17.04202254,0.106512641,0,408,114.1049383,137.3664279,18869.5355,0,1,0,0,0,0,0,0,0,114.8136646,115.53125,0,0,0,0,0,0,0,160,18485,1,0,-1,65228,74,0,0,0,0,0,0,0,0,0,1
8.8.4.4-10.140.79.163-853-14504-6,10.140.79.163,14504,8.8.4.4,853,6,06/05/2023 07:05,4440163,87,1,11549,0,816,0,132.7471264,168.9051074,0,0,0,0,2601.030638,19.81909223,51036.35632,58000.78877,330691,3,4412070,51303.13953,58287.25522,330691,3,0,0,0,0,0,0,0,0,0,2784,40,19.59387527,0.225216957,0,816,129.7640449,168.1429331,28272.04597,0,1,0,0,0,0,0,0,0,131.2386364,132.7471264,0,0,0,0,0,0,0,87,11549,1,0,-1,65228,40,0,0,0,0,0,0,0,0,0,1
8.8.8.8-10.140.79.163-853-17654-6,10.140.79.163,17654,8.8.8.8,853,6,06/05/2023 07:05,249701,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,2198.629561,44.05268701,24970.1,45001.9282,143719,5,223676,24852.88889,47730.13384,143719,5,0,0,0,0,0,0,0,0,0,320,40,40.04789729,4.004789729,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,1
8.8.4.4-10.140.79.163-853-2958-6,10.140.79.163,2958,8.8.4.4,853,6,06/05/2023 07:05,215330,10,1,549,0,293,0,54.9,97.63247411,0,0,0,0,2549.575071,51.08438211,21533,35101.95541,109605,5,185648,20627.55556,37107.1772,109605,5,0,0,0,0,0,0,0,0,0,320,40,46.44034737,4.644034737,0,293,45.75,90.86065755,8255.659091,0,1,0,0,0,0,0,0,0,49.90909091,54.9,0,0,0,0,0,0,0,10,549,1,0,-1,65228,4,0,0,0,0,0,0,0,0,0,1
